№;ФИО;Номер телефона;Количество минут, оплаченных абонентом;Количество минут, которые наговорил абонент;Стоимость дополнительной минуты;Адрес;Сумма, оплаченная за дополнительные минуты
25;Прасковья Ефимовна Маслова;+7 271 834 3896;396;249;20;п. Тарко-Сале, алл. Красина, д. 4/6 к. 596, 550422;0
26;Амос Афанасьевич Васильев;+7 776 371 8850;324;61;19;г. Буйнакск, пер. Энтузиастов, д. 6/7, 370786;0
27;Стрелкова Таисия Петровна;84202346586;395;41;9;ст. Краснодар, алл. Волкова, д. 16 стр. 9/8, 952096;0
28;Елисеев Симон Филимонович;+7 360 329 4841;201;485;31;п. Лянтор, ул. Металлургов, д. 204 к. 823, 113354;8804
29;Герасимова Анжелика Борисовна;84415369990;326;366;28;п. Шерегеш, пер. Школьный, д. 2 стр. 2/3, 624676;1120
30;Кира Николаевна Агафонова;+72005687953;356;135;31;п. Рославль, бул. Дорожников, д. 804, 248221;0
31;Кондратий Ануфриевич Белозеров;8 419 730 61 90;478;448;20;д. Суздаль, ул. Дорожников, д. 808, 772433;0
32;Аскольд Авдеевич Шаров;8 162 652 5475;64;274;34;ст. Челюскин, ш. Омское, д. 173, 213448;7140
33;Максим Вячеславович Гуляев;8 870 785 68 58;406;216;17;п. Юрюзань, пр. Сиреневый, д. 8 к. 303, 288144;0
34;Лазарев Митофан Витальевич;+7 (420) 518-14-71;322;129;24;г. Ульяновск, пер. Северный, д. 3 стр. 1, 067883;0
35;Акулина Харитоновна Сазонова;+7 (165) 697-86-82;12;508;34;ст. Жуковский, ул. Азина, д. 9 к. 894, 117905;16864
36;Борисова Олимпиада Максимовна;88469428318;292;541;21;с. Теберда, пр. Сахалинский, д. 3 стр. 2, 613132;5229
37;Юлия Валериевна Бирюкова;86532898545;258;88;24;к. Кудымкар, пер. Гоголя, д. 2 к. 7, 929525;0
38;Савельев Лаврентий Владиславович;8 (016) 235-3670;30;355;11;с. Октябрьский (Башк.), бул. Кубанский, д. 6/5 стр. 406, 644156;3575
39;Валерьян Эдгарович Сазонов;8 337 401 03 42;388;45;26;с. Усть-Катав, наб. Производственная, д. 35 стр. 1/2, 605992;0
40;Леонид Юлианович Ершов;+7 588 885 4582;452;443;20;п. Бирск, наб. Вавилова, д. 9, 442346;0
41;Кононов Филимон Георгиевич;8 (463) 613-18-31;345;322;34;д. Сасово, наб. Невского, д. 9 стр. 347, 493944;0
42;Алина Вениаминовна Панова;+7 062 055 0841;143;112;16;с. Сарапул, алл. Курчатова, д. 8, 998427;0
43;Богданов Бронислав Игнатович;+7 (821) 700-2715;114;392;13;с. Сковородино, алл. Гагарина, д. 453 стр. 940, 208118;3614
44;Рябов Анисим Дмитриевич;8 (026) 555-54-42;386;107;50;д. Златоуст, пр. Лесхозный, д. 4/5 к. 990, 028691;0
45;Творимир Анисимович Юдин;80883391543;452;380;37;к. Карпинск, наб. Физкультурная, д. 737 к. 5/4, 689559;0
46;Анна Никифоровна Дьячкова;8 (726) 753-4585;94;573;17;к. Ессентуки, ш. Амурское, д. 4/5 к. 7/4, 175260;8143
47;Борис Антонович Красильников;+7 774 750 6874;254;547;35;ст. Шатура, ул. Красных Партизан, д. 7 к. 9/5, 527162;10255
48;Елизавета Тарасовна Яковлева;8 (074) 320-00-20;446;248;43;ст. Томск, алл. Невского, д. 7/6, 901079;0
49;Григорьев Карп Эдгардович;84165515983;388;352;9;г. Киренск, ш. Звездное, д. 2/6 к. 4, 264261;0
50;Влас Гурьевич Мухин;+79924945497;482;526;38;п. Кяхта, пер. Котовского, д. 6, 504217;1672
51;Пелагея Олеговна Гордеева;+7 849 834 88 99;460;85;33;с. Кунгур, наб. Чехова, д. 73, 673400;0
52;Никонов Никанор Измаилович;+7 743 875 83 52;419;144;30;п. Березники, пер. Амурский, д. 301 стр. 5, 862487;0
53;Аскольд Арсенович Селиверстов;+7 (852) 715-97-46;49;299;39;с. Снежногорск (Мурм.), алл. Учительская, д. 985, 903327;9750
54;Чернов Евдоким Аверьянович;+7 (930) 278-09-64;273;543;30;клх Озеры, бул. Краснознаменный, д. 29 к. 673, 059220;8100
55;Ия Петровна Комарова;85870161864;316;216;30;к. Ведено, ш. Заовражное, д. 34 стр. 9, 604659;0
56;Степан Ильясович Кошелев;+7 449 930 6225;338;269;19;ст. Воткинск, пр. Главный, д. 960, 639732;0
57;Федосеева Регина Святославовна;+76000736945;484;172;2;с. Буденновск, пр. Ангарский, д. 7 к. 2/6, 950443;0
58;Бурова Елена Наумовна;+73064464726;493;448;8;ст. Усть-Кулом, ш. Советское, д. 233, 704269;0
59;Прокл Владленович Галкин;+7 525 201 2264;39;109;26;д. Томари, ул. Балтийская, д. 4 к. 64, 133419;1820
60;Эмилия Леоновна Муравьева;8 659 751 54 33;36;257;38;п. Калач, пер. Маркса, д. 8 к. 6/5, 518498;8398
61;Ангелина Артемовна Зимина;87531909774;267;316;15;с. Гдов, бул. Большой, д. 792 стр. 6, 546407;735
62;Силин Венедикт Иосифович;+7 818 991 1506;403;131;11;п. Гремячинск (Перм.), ш. Советов, д. 226 к. 97, 727771;0
63;Павлова Лариса Егоровна;+77869485811;184;428;25;клх Кызыл, ш. Пархоменко, д. 2/4 стр. 8/4, 593921;6100
64;Тетерина Милица Игоревна;8 (350) 332-10-16;109;508;20;с. Невинномысск, пер. Молодежный, д. 617 к. 3/5, 297672;7980
65;Эраст Ефимьевич Андреев;+7 570 592 02 61;28;506;28;к. Карабулак, пер. Войкова, д. 1, 025851;13384
66;Шубин Еремей Вячеславович;8 (201) 193-8480;186;151;7;ст. Ростов, пр. Советский, д. 802, 664407;0
67;Борисов Тихон Викторович;+7 016 627 46 41;377;47;23;ст. Балашов, наб. Урожайная, д. 1/9 стр. 2/6, 520690;0
68;Ирина Дмитриевна Герасимова;+7 728 394 77 64;483;232;14;г. Серпухов, бул. Баумана, д. 76 к. 6/9, 010026;0
69;Чернов Гордей Абрамович;+7 (973) 077-5355;143;494;4;ст. Вязьма, алл. Клубная, д. 9, 460496;1404
70;Надежда Николаевна Устинова;+7 (071) 251-00-48;149;120;6;п. Бугульма, ул. Тукая, д. 4/3, 119511;0
71;Татьяна Аркадьевна Никитина;+7 205 078 4849;487;165;49;п. Валаам, алл. Кузнецкая, д. 6 к. 24, 929527;0
72;Петров Сила Ермилович;8 742 585 55 24;387;396;7;д. Кострома, пер. Химиков, д. 2/3, 727288;63
73;Олимпиада Ниловна Самсонова;+76775020994;459;239;15;г. Мончегорск, пр. Фурманова, д. 6, 299503;0
74;Осипова Нинель Артемовна;8 (844) 952-5524;389;250;25;ст. Сосновый Бор, наб. Уральская, д. 4, 835494;0
75;Блохин Лавр Данилович;8 198 346 8681;21;102;11;г. Зарайск, пр. Портовый, д. 711 к. 1/4, 429720;891
76;Лукьян Антипович Мишин;8 119 940 0360;325;499;16;г. Билибино, алл. Курская, д. 8 к. 2, 514209;2784
77;Никонова Вера Феликсовна;8 991 427 1356;222;317;5;клх Каргополь, наб. Запорожская, д. 959 стр. 1/3, 014058;475
78;Шашкова Виктория Владиславовна;82445889816;384;255;19;с. Яр-Сале, наб. Морозова, д. 545 к. 81, 050193;0
79;Виталий Елизарович Жданов;8 (343) 296-2219;256;312;42;д. Павловский Посад, пр. Мира, д. 6/6 к. 929, 116819;2352
80;Флорентин Борисович Крюков;+7 859 825 0694;208;177;24;к. Ноябрьск, ул. Новая, д. 3 к. 52, 761198;0
81;Глеб Андреевич Потапов;8 (545) 805-51-03;189;112;8;д. Ардон, ул. Дачная, д. 467, 876892;0
82;Дементьев Герасим Изотович;8 860 784 6477;385;367;17;к. Теберда, ш. Физкультурное, д. 9, 634155;0
83;Рыбакова Наталья Юльевна;+7 (658) 605-87-79;301;171;19;ст. Южноуральск, бул. Комсомольский, д. 3/3 стр. 30, 150117;0
84;Копылов Святополк Игнатович;+7 (899) 659-08-57;295;592;17;ст. Малоярославец, пер. Беляева, д. 633, 282583;5049
85;Олимпиада Вячеславовна Носова;8 077 479 8022;337;87;26;п. Воркута, наб. Лазурная, д. 7/3 стр. 8, 820245;0
86;Рогов Арефий Афанасьевич;+7 033 047 8717;45;531;18;г. Сургут (Хант.), ш. 1 Мая, д. 3, 200289;8748
87;Анжела Олеговна Копылова;8 350 627 9125;131;188;7;клх Печора, ш. Краснопартизанское, д. 342 к. 253, 202111;399
88;Соболева Вероника Владимировна;+78663047033;166;562;1;ст. Нарым, пр. Суворова, д. 5/9, 316625;396
89;Колобов Бажен Афанасьевич;8 600 094 48 08;121;425;45;к. Екатеринбург, пр. Рабочий, д. 1/2, 472938;13680
90;Лапина София Ефимовна;+7 861 275 39 42;409;370;21;клх Костомукша, пр. Деповский, д. 1/7 стр. 79, 623154;0
91;Иванова Олимпиада Борисовна;8 884 331 47 40;38;142;43;с. Дзержинск, пер. 50 лет Октября, д. 9/2, 527203;4472
92;Ковалева Евпраксия Валентиновна;8 (685) 560-9369;109;418;2;к. Александров, алл. Саратовская, д. 56 стр. 73, 026688;618
93;Полина Афанасьевна Алексеева;8 727 404 04 42;375;380;36;клх Оленегорск (Якут.), алл. Подстанция, д. 4, 009154;180
94;Шашков Дементий Арсеньевич;+7 069 394 3743;160;52;33;г. Печенга, ш. Алтайское, д. 5 стр. 58, 642226;0
95;Кира Захаровна Ильина;+7 753 651 6339;243;58;1;п. Стерлитамак, пр. Тульский, д. 19, 287131;0
96;Крылова Евдокия Макаровна;+7 (100) 400-0222;479;266;39;с. Кингисепп, ул. Кубанская, д. 6, 277286;0
97;Агата Афанасьевна Юдина;+7 (387) 193-66-71;213;580;19;с. Курумкан, бул. Азовский, д. 18 стр. 7/9, 196224;6973
98;Щукина Лукия Анатольевна;+7 410 891 2434;33;228;6;к. Кондопога, наб. Коммуны, д. 4, 557507;1170
99;Родионов Евдоким Феоктистович;+7 317 021 83 39;318;520;25;ст. Алдан, ул. Станционная, д. 6, 792885;5050
100;Ираклий Артурович Лобанов;8 032 328 2398;424;357;18;ст. Джейрах, алл. Азовская, д. 7/4 стр. 4, 616493;0
101;Ираида Кузьминична Богданова;8 784 230 96 08;195;239;36;г. Андреаполь, алл. Отрадная, д. 588 стр. 8, 286369;1584
102;Шилова Ангелина Эльдаровна;+7 (826) 522-57-21;240;38;24;п. Рязань, пр. Волжский, д. 7/4 к. 1/9, 416860;0
103;Дарья Александровна Носова;+7 554 155 2411;168;93;15;ст. Белорецк, бул. Кольцова, д. 86, 961645;0
104;Соколов Борислав Иосипович;+7 (760) 860-6585;55;58;2;к. Усть-Ордынский, пер. Окружной, д. 3 к. 7/2, 801276;6
105;Валерия Владимировна Титова;+7 (363) 740-7403;154;481;14;с. Чикола, бул. Чайкиной, д. 1/1, 988642;4578
106;Самсон Валерьевич Яковлев;+7 736 128 2688;125;484;22;д. Хоста, ш. Вокзальное, д. 2/9, 307596;7898
107;Бажен Артёмович Мельников;8 (979) 751-38-11;207;386;25;д. Октябрьское (Хант.), ул. Достоевского, д. 2 к. 3/7, 847831;4475
108;Дмитриев Конон Данилович;+7 (931) 008-5467;447;153;2;п. Вуктыл, бул. Космодемьянской, д. 3 к. 365, 813890;0
109;Гришина Юлия Анатольевна;+7 506 585 00 05;39;217;37;п. Аша, наб. Омская, д. 70 стр. 88, 954462;6586
110;Макар Харлампьевич Сорокин;8 (663) 981-4141;219;61;25;д. Рубцовск, бул. Олимпийский, д. 25 стр. 8/2, 396041;0
111;Валерий Игоревич Пахомов;8 (279) 346-26-19;193;12;15;ст. Челюскин, ш. Лунное, д. 93 к. 528, 190840;0
112;Громов Евгений Эдгардович;8 720 836 6835;315;500;21;г. Дубна, бул. Лесхозный, д. 7/2, 178301;3885
113;Селиверстова Алла Эдуардовна;+7 (351) 914-06-67;478;396;41;д. Горячинск, наб. 70 лет Октября, д. 64 стр. 551, 533359;0
114;Симонова Надежда Оскаровна;8 (761) 405-0814;120;147;26;п. Пермь, алл. Саратовская, д. 41 стр. 8/3, 516457;702
115;Филимон Федотович Зуев;8 (657) 646-7980;308;461;9;д. Шарья, алл. Тракторная, д. 9 стр. 876, 548880;1377
116;Елисеева Фёкла Тимуровна;8 (938) 616-15-15;222;297;5;клх Калач, ул. Целинная, д. 93 к. 87, 972737;375
117;Алла Руслановна Белова;8 873 704 3842;86;412;28;п. Ейск, пер. Советской Армии, д. 41, 541395;9128
118;Кузьмина Варвара Максимовна;+7 350 452 90 12;157;44;1;г. Поярково, пер. Уральский, д. 35 стр. 9, 756755;0
119;Майя Олеговна Пестова;+7 (311) 750-0104;188;456;47;ст. Гусь-Хрустальный, пр. Шмидта, д. 33, 994870;12596
120;Фролов Феоктист Бориславович;+7 446 260 6114;467;14;43;п. Рыльск, пр. Декабристов, д. 3 стр. 7, 379168;0
121;Ювеналий Гаврилович Петухов;8 (547) 517-1897;234;208;26;п. Тамбов, бул. Раздольный, д. 2 стр. 7/5, 218445;0
122;Евстигней Васильевич Борисов;8 624 429 01 47;55;339;14;г. Бомнак, алл. Покровская, д. 4, 355306;3976
123;Носов Моисей Ерофеевич;+7 306 932 1133;361;402;45;г. Архыз, бул. Бабушкина, д. 7, 648930;1845
124;Филарет Исидорович Третьяков;82984643887;55;294;39;ст. Сургут (Хант.), ул. Харьковская, д. 3/4 стр. 842, 794412;9321
125;Анисим Юльевич Шилов;8 (179) 810-2522;276;238;45;ст. Холмогоры, ул. Глинки, д. 3/5 к. 479, 274494;0
126;Колесников Геннадий Феоктистович;8 289 854 03 80;384;241;14;с. Благовещенск (Амур.), пр. Ростовский, д. 898 к. 24, 818769;0
127;тов. Титов Трифон Гурьевич;+7 041 609 21 32;407;483;27;д. Приозерск, пер. Петровский, д. 1/1 к. 357, 026384;2052
128;Всеслав Арсеньевич Костин;8 (833) 783-37-91;448;85;32;г. Черский, бул. Горный, д. 1/4 к. 2/2, 029828;0
129;Кулагина Галина Ниловна;+7 847 364 81 10;479;56;49;п. Мончегорск, бул. Московский, д. 4 к. 9, 091865;0
130;Бажен Игоревич Павлов;+7 404 542 3544;165;17;6;ст. Истра, бул. Февральский, д. 7, 243217;0
131;Спартак Филиппович Захаров;8 893 537 2518;56;517;27;с. Кабанск, алл. Журавлева, д. 1/8, 892544;12447
132;Ермаков Всеслав Жанович;+7 (162) 408-5104;85;452;40;клх Белогорск (Амур.), пр. Правды, д. 81 стр. 5, 161324;14680
133;Виктория Антоновна Жданова;+7 (960) 479-72-52;456;522;9;с. Мценск, ул. Подгорная, д. 4 стр. 2, 888679;594
134;Эмилия Рубеновна Харитонова;8 (372) 771-21-20;177;38;13;п. Кыштым, наб. Высотная, д. 289 к. 45, 512640;0
135;Доброслав Даниилович Куликов;8 (673) 839-0729;463;276;32;с. Хасан, бул. Производственный, д. 37, 660696;0
136;Ян Захарьевич Коновалов;8 (947) 490-74-67;195;62;17;с. Усть-Кут, пр. Лесный, д. 6/6, 768055;0
137;Семенов Федор Феликсович;+7 (067) 678-2175;201;499;38;д. Сыктывкар, наб. Пушкина, д. 2/6, 951781;11324
138;Остромир Бориславович Кузьмин;8 (940) 923-47-11;130;76;41;ст. Верхотурье, алл. Раздольная, д. 29 к. 913, 828103;0
139;Фаина Тимофеевна Шарапова;+7 723 202 5977;437;173;43;ст. Диксон, пр. Волгоградский, д. 678, 375799;0
140;Сильвестр Васильевич Голубев;+7 510 969 3841;242;119;18;г. Нягань, наб. Железнодорожная, д. 59 к. 9/2, 408053;0
141;Лаврентий Авдеевич Потапов;8 (721) 442-2154;386;238;36;д. Печенга, ул. Ключевая, д. 257 стр. 15, 846581;0
142;Власов Нифонт Артёмович;+7 032 087 4907;274;375;14;ст. Радужный, ул. Народная, д. 3 к. 8, 888110;1414
143;Лука Герасимович Чернов;8 280 057 2228;353;68;25;п. Карталы, пр. Клубный, д. 514 к. 739, 668984;0
144;Комаров Эрнест Изотович;8 441 782 5093;372;558;40;к. Таганрог, бул. Свободы, д. 4 стр. 94, 879449;7440
145;Милен Васильевич Тетерин;+7 285 083 0438;69;467;17;клх Кострома, пр. Российский, д. 7, 197106;6766
146;Давыд Ааронович Селезнев;+7 312 032 48 44;43;326;42;к. Петухово, ул. Ивановская, д. 4 к. 9/1, 283196;11886
147;Оксана Львовна Евдокимова;+7 (208) 470-58-69;307;564;8;ст. Азов (Рост.), бул. Фурманова, д. 91 стр. 9/2, 313030;2056
148;Дмитриева Любовь Львовна;8 (898) 974-00-73;43;266;33;к. Владивосток, наб. Западная, д. 3/6 к. 45, 238307;7359
149;Илья Феоктистович Субботин;+7 (271) 853-9440;209;280;19;п. Нягань, пр. Геологов, д. 3/7, 516877;1349
150;Макарова Надежда Феликсовна;8 360 931 2843;22;237;43;г. Петрозаводск, пр. Дорожный, д. 747, 820378;9245
151;Никонова Нонна Тимофеевна;8 630 108 8796;224;178;15;г. Кингисепп, алл. Славянская, д. 215, 487229;0
152;Авдеев Мокей Артурович;8 (819) 459-1547;242;362;29;ст. Новочеркасск, пр. 60 лет СССР, д. 538, 551988;3480
153;Фадеева Анна Павловна;83840660006;50;249;13;ст. Енисейск, наб. Васильковая, д. 9 стр. 7/4, 136415;2587
154;Николай Бориславович Кудрявцев;8 (508) 640-8028;178;118;1;д. Меренга, ш. М.Горького, д. 8/1 стр. 19, 645690;0
155;Евдокия Рудольфовна Шестакова;+7 218 393 6211;269;430;37;к. Вуктыл, бул. Трудовой, д. 574 к. 660, 238206;5957
156;Сергеева Мария Вячеславовна;85570796226;296;319;10;клх Одинцово, бул. Технический, д. 7 к. 50, 217403;230
157;Пономарева Алла Викторовна;89297188688;183;20;10;п. Таштагол, бул. Угольный, д. 7/2 к. 5/7, 386233;0
158;Зосима Фадеевич Дмитриев;+7 (863) 907-45-18;173;82;35;г. Кежма, ш. Орджоникидзе, д. 63 к. 685, 899281;0
159;Захаров Лазарь Филимонович;+7 149 156 6379;19;567;50;п. Липецк, ш. Урожайное, д. 590, 461554;27400
160;Фокин Мстислав Ануфриевич;+7 (457) 906-46-06;480;190;21;д. Рубцовск, алл. Лесная, д. 1 к. 99, 773854;0
161;Русаков Иннокентий Егорович;+7 (886) 796-5069;275;513;8;п. Троицко-Печорск, бул. Ленинградский, д. 91, 336748;1904
162;Фокин Иннокентий Гертрудович;8 034 428 98 67;247;600;48;клх Новый Оскол, наб. Балтийская, д. 19 к. 528, 847220;16944
163;Синклитикия Васильевна Субботина;8 783 470 28 26;168;218;32;д. Учалы, бул. Крестьянский, д. 1/1, 065551;1600
164;Ульяна Вячеславовна Галкина;+7 086 777 8242;444;180;23;д. Якутск, наб. Осенняя, д. 4 стр. 4/4, 730106;0
165;Морозов Амвросий Венедиктович;8 082 320 2721;371;4;37;ст. Холмск, алл. Володарского, д. 3 стр. 821, 946408;0
166;Сидор Давидович Щербаков;8 472 948 26 69;67;320;27;с. Губкин, наб. Макаренко, д. 957 к. 6, 484662;6831
167;Елизавета Никифоровна Миронова;+7 (734) 354-6948;329;308;39;ст. Всеволожск, пр. Папанина, д. 6, 417985;0
168;Меркушева Марина Харитоновна;8 180 321 17 50;360;160;36;ст. Елец, пер. Российский, д. 483 стр. 1, 901255;0
169;Амос Изотович Беляков;+7 794 983 73 59;129;547;10;ст. Джубга, пр. Заливный, д. 8 стр. 48, 629030;4180
170;Чеслав Валентинович Кабанов;+7 (367) 032-20-79;69;294;21;п. Касимов, ш. Парковое, д. 649 к. 936, 440223;4725
171;Пахомов Гурий Ярославович;+7 494 487 81 46;483;239;3;д. Ишим, наб. Бригадная, д. 90 к. 7, 655650;0
172;Самсонов Аверьян Ефремович;8 (237) 377-62-57;38;129;40;к. Выборг, наб. Марта 8, д. 35, 455273;3640
173;Анжелика Петровна Фомина;82833297181;235;544;33;г. Нижнеудинск, алл. Новая, д. 9/7 стр. 35, 158347;10197
174;Дмитриев Сильвестр Арсеньевич;+7 (064) 695-48-20;359;392;42;клх Биробиджан, бул. Карла Либкнехта, д. 7 стр. 356, 010737;1386
175;Прохорова Евфросиния Владимировна;88714882509;442;273;14;д. Арзамас, ул. Ягодная, д. 80 стр. 9/9, 533590;0
176;Никодим Всеволодович Королев;+79270774139;361;386;44;с. Тырныауз, бул. Ермака, д. 75 стр. 2/3, 803887;1100
177;Валерия Болеславовна Королева;8 (105) 493-08-11;170;118;45;п. Яхрома, пер. Украинский, д. 575, 384425;0
178;Ершов Христофор Марсович;85670844393;152;410;14;с. Каргополь, ул. Просторная, д. 1/4 к. 2, 975091;3612
179;Третьякова Мария Кузьминична;8 647 794 52 00;486;280;35;с. Шелагонцы, ш. Покровское, д. 7/5 стр. 98, 047929;0
180;Милица Дмитриевна Власова;+7 661 277 9967;420;314;3;клх Новгород Великий, алл. Леонова, д. 68, 741420;0
181;Глафира Сергеевна Куликова;8 (369) 410-51-75;367;508;46;с. Йошкар-Ола, ул. Лазурная, д. 12, 044648;6486
182;Трофимова Эмилия Рубеновна;8 (525) 262-5931;123;401;38;с. Советский, пр. О.Кошевого, д. 191 к. 4, 091360;10564
183;Петров Ратмир Всеволодович;+7 (649) 236-9685;236;63;23;д. Кизел, пр. Станиславского, д. 1, 878057;0
184;Копылова Виктория Олеговна;8 859 301 20 54;452;377;25;г. Кондопога, бул. Октября, д. 60 к. 4, 376911;0
185;Колесникова Евгения Павловна;8 (844) 670-82-71;210;231;38;ст. Ельня, наб. Киевская, д. 8, 806315;798
186;Лукия Ивановна Волкова;+7 (528) 342-93-10;445;162;44;п. Листвянка (Иркут.), пер. Энергетический, д. 9/4, 903326;0
187;Казимир Дорофеевич Агафонов;8 (225) 095-72-11;429;54;20;п. Смоленск, пр. Кирова, д. 94 к. 24, 004234;0
188;Раиса Евгеньевна Гусева;8 706 201 9730;171;291;5;д. Анапа, пр. Промышленный, д. 3/6 стр. 546, 190668;600
189;Изяслав Анисимович Федоров;8 (496) 828-41-05;50;407;18;ст. Горячий Ключ, пер. Волжский, д. 2/7 к. 3/5, 581985;6426
190;Харлампий Давидович Капустин;8 526 471 5102;163;540;3;к. Курильск, алл. Автомобилистов, д. 543 стр. 3/8, 284043;1131
191;Носова Евфросиния Семеновна;8 (696) 170-9927;154;470;19;д. Всеволожск, наб. Проточная, д. 7 к. 7, 716282;6004
192;Блохина Елизавета Вадимовна;+78249943912;455;55;37;ст. Омск, алл. Мирная, д. 25, 959537;0
193;Евпраксия Валентиновна Громова;+7 (826) 038-98-20;156;249;31;клх Верхний Уфалей, наб. Майская, д. 2 стр. 63, 245759;2883
194;Исакова Акулина Макаровна;8 (727) 544-08-96;129;480;24;к. Магнитогорск, ул. Просторная, д. 2 стр. 731, 464081;8424
195;Спартак Адамович Тетерин;8 (528) 267-0214;389;554;23;клх Ивдель, ул. Азина, д. 72 стр. 456, 488006;3795
196;Синклитикия Борисовна Герасимова;8 (445) 240-0935;215;262;44;ст. Печенга, бул. Пограничный, д. 211 к. 7, 427524;2068
197;Киселев Демид Евстигнеевич;85738937877;210;69;12;п. Усолье Сибирское, пр. Нагорный, д. 1/4 к. 15, 737853;0
198;Голубев Конон Фокич;+76563372527;91;248;17;клх Магас, бул. Заовражный, д. 34, 441249;2669
199;Лидия Оскаровна Шилова;8 (167) 421-3328;70;91;26;ст. Верхнее Пенжино, ул. Журавлева, д. 514 стр. 919, 195592;546
200;Наталья Кузьминична Данилова;+7 (245) 992-0400;46;403;38;с. Ирбит, ул. Прибрежная, д. 3 стр. 560, 734549;13566
201;Октябрина Максимовна Блохина;8 267 831 8939;470;388;31;ст. Токсово, бул. Лазо, д. 250, 817172;0
202;Константин Даниилович Соколов;8 (027) 993-0009;326;558;13;клх Пушкин, алл. Пролетарская, д. 850, 095241;3016
203;Сысоев Мирослав Харлампович;+76324454617;137;66;16;г. Северобайкальск, пер. Главный, д. 1/2 к. 9/5, 895802;0
204;Муравьев Христофор Валерианович;8 (446) 693-0867;447;104;6;п. Соль-Илецк, ул. Высоцкого, д. 4 стр. 764, 425992;0
205;Евгения Александровна Блохина;8 (969) 800-5002;19;232;32;ст. Кузнецк, ул. Окружная, д. 1 стр. 6, 754886;6816
206;Корнилов Авдей Власович;8 624 558 1325;145;514;12;с. Буденновск, алл. Бульварная, д. 3 к. 53, 906759;4428
207;Никита Ильич Логинов;+7 794 375 64 06;346;524;43;д. Нарткала, наб. Володарского, д. 9 к. 179, 386004;7654
208;Трифон Тимурович Романов;8 930 187 93 28;500;145;10;к. Гремячинск (Перм.), ш. 9 мая, д. 6/6 стр. 65, 818475;0
